trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.5, 'e': 0.989778655266043}",20,0,-105.90846945781193,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.9896499035251115}",25,0,-161.36190282841068,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.9895203501678123}",30,0,-132.23369716757358,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.9893899952990833}",25,14,-42.45377634915599,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.9892588390245124}",25,0,-258.15486510196246,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
165,False,"{'a': 0.5, 'e': 0.989126881450336}",25,0,-46.17973788714456,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.9889941226834397}",25,3,-200.12929427408739,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 3}",1
167,False,"{'a': 0.5, 'e': 0.988860562831358}",20,0,-149.90887210275258,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.9887262020022745}",20,0,-98.03571772269687,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9885910403050214}",25,0,-204.0475683801585,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
170,False,"{'a': 0.5, 'e': 0.9884550778490798}",30,0,-189.52182996480585,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9883183147445792}",25,0,-110.12042288327213,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9881807511022976}",25,0,-124.95847203494179,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.9880423870336617}",20,0,-122.8610606977295,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.9879032226507463}",30,0,-174.38614789276141,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9877632580662745}",20,0,2.4135105683312537,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9876224933936179}",30,3,-247.24782030181694,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 4}",1
177,False,"{'a': 0.5, 'e': 0.9874809287467954}",25,5,-88.14821966889983,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.9873385642404747}",25,0,-218.83998134002272,"{0: 14, 1: 2, 2: 2, 3: 4, 4: 3}",0
179,False,"{'a': 0.5, 'e': 0.987195399989971}",30,0,-82.33818703094367,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.9870514361112471}",25,15,-19.65277215005537,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.986906672720914}",25,0,-160.04628528053883,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
182,False,"{'a': 0.5, 'e': 0.9867611099362301}",30,21,-32.13411710844143,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
